question,answer
What is your return policy?,You can return items within 30 days.
How can I contact support?,Email us at support@example.com.
Where are you located?,We are located in New York.
What is your return policy?,You can return items within 30 days of purchase with the original receipt.
How can I contact support?,You can contact support by emailing support@example.com or calling 1800-000-0000.
Where is your office located?,"Our main office is located in Hyderabad, India."
What are your business hours?,"We are open from 9 AM to 6 PM, Monday to Friday."
Can I change my order after placing it?,"Yes, you can change your order within 2 hours of placing it."
Do you offer international shipping?,"Yes, we offer international shipping to over 50 countries."
How do I reset my password?,Click on 'Forgot password' on the login page to receive a reset link.
Is there a mobile app available?,"Yes, you can download our app from Google Play Store or Apple App Store."
How do I track my order?,Log in to your account and go to the 'Orders' section to track your shipment.
How do I cancel my subscription?,"To cancel your subscription, go to your account settings and click 'Cancel Subscription'."